sourceCode,sourceName,sourceValueCode,sourceValueName,sourceUnitName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,statusSetBy,statusSetOn,conceptId,mappingType,comment,createdBy,createdOn
41256,540 Splenectomy,540,540 Splenectomy,,-1,,0.7191844582557678,UNCHECKED,,0,4125482,EVENT,,<auto>,1602067194164
41256,884 Repair of artery,884,884 Repair of artery,,-1,,0.6766772270202637,UNCHECKED,,0,4311041,EVENT,,<auto>,1602067194710
41256,267 Other operation on mouth and palate,267,267 Other operation on mouth and palate,,-1,,0.590343177318573,UNCHECKED,,0,4097703,EVENT,,<auto>,1602067197133
41256,789.1 Skeletal traction : infixed pin,7891,789.1 Skeletal traction : infixed pin,,-1,,0.45808541774749756,UNCHECKED,,0,4141773,EVENT,,<auto>,1602067197761
41256,054.1 Infective lesion of brain : drainage of abscess,0541,054.1 Infective lesion of brain : drainage of abscess,,-1,,0.5173441171646118,UNCHECKED,,0,4040923,EVENT,,<auto>,1602067198056
41256,540.1 Splenectomy : excision of lesion,5401,540.1 Splenectomy : excision of lesion,,-1,,0.5004425048828125,UNCHECKED,,0,4283229,EVENT,,<auto>,1602067198436
41256,158.1 Other operations on anterior chamber : paracentesis,1581,158.1 Other operations on anterior chamber : paracentesis,,-1,,0.6184054017066956,UNCHECKED,,0,2000569,EVENT,,<auto>,1602067198703
41256,884.1 Repair of artery : by-pass graft (vein),8841,884.1 Repair of artery : by-pass graft (vein),,-1,,0.41732099652290344,UNCHECKED,,0,42872708,EVENT,,<auto>,1602067199161
41256,640.3 Incision of testis and adnexa : removal of foreign body,6403,640.3 Incision of testis and adnexa : removal of foreign body,,-1,,0.5392603278160095,UNCHECKED,,0,4111754,EVENT,,<auto>,1602067200045
41256,"709.2 Other operations on uterus : cervical smear, postcoital test",7092,"709.2 Other operations on uterus : cervical smear, postcoital test",,-1,,0.43279826641082764,UNCHECKED,,0,4064338,EVENT,,<auto>,1602067200201
41256,541 Biopsy of spleen,541,541 Biopsy of spleen,,-1,,0.7629373073577881,UNCHECKED,,0,4138388,EVENT,,<auto>,1602067200907
41256,789.2 Skeletal traction : skull caliper,7892,789.2 Skeletal traction : skull caliper,,-1,,0.4595164358615875,UNCHECKED,,0,4289939,EVENT,,<auto>,1602067203024
41256,055 Excision of intracranial lesion,055,055 Excision of intracranial lesion,,-1,,0.7988320589065552,UNCHECKED,,0,4321596,EVENT,,<auto>,1602067203558
41256,"267.1 Other operation on mouth and palate : biopsy - fauces, palate",2671,"267.1 Other operation on mouth and palate : biopsy - fauces, palate",,-1,,0.4262799024581909,UNCHECKED,,0,4097703,EVENT,,<auto>,1602067204173
41256,158.2 Other operations on anterior chamber : injection,1582,158.2 Other operations on anterior chamber : injection,,-1,,0.6258281469345093,UNCHECKED,,0,2000569,EVENT,,<auto>,1602067204575
41256,"641 Orchidectomy, unilateral or partial",641,"641 Orchidectomy, unilateral or partial",,-1,,0.6175313591957092,UNCHECKED,,0,44806627,EVENT,,<auto>,1602067204801
41256,541.1 Biopsy of spleen : percutaneous biopsy,5411,541.1 Biopsy of spleen : percutaneous biopsy,,-1,,0.5929899215698242,UNCHECKED,,0,4119552,EVENT,,<auto>,1602067204928
41256,"884.2 Repair of artery : repair by tissue graft, not elsewhere classified",8842,"884.2 Repair of artery : repair by tissue graft, not elsewhere classified",,-1,,0.5479298233985901,UNCHECKED,,0,2005882,EVENT,,<auto>,1602067205767
41256,790 Incision of bone,790,790 Incision of bone,,-1,,0.6695582866668701,UNCHECKED,,0,4246099,EVENT,,<auto>,1602067206286
41256,"709.3 Other operations on uterus : hysterotomy, not elsewhere classified",7093,"709.3 Other operations on uterus : hysterotomy, not elsewhere classified",,-1,,0.5437933206558228,UNCHECKED,,0,2000598,EVENT,,<auto>,1602067207459
41256,"642 Castration, male",642,"642 Castration, male",,-1,,0.4634755849838257,UNCHECKED,,0,4170288,EVENT,,<auto>,1602067208134
41256,791 Division of bone,791,791 Division of bone,,-1,,0.6488510370254517,UNCHECKED,,0,4197229,EVENT,,<auto>,1602067209340
41256,884.3 Repair of artery : repair by prosthesis,8843,884.3 Repair of artery : repair by prosthesis,,-1,,0.41123151779174805,UNCHECKED,,0,4096943,EVENT,,<auto>,1602067210125
41256,159 Other operation on iris and ciliary body,159,159 Other operation on iris and ciliary body,,-1,,0.6388928890228271,UNCHECKED,,0,4119727,EVENT,,<auto>,1602067210374
41256,055.2 Excision of intracranial lesion : trans-sphenoidal,0552,055.2 Excision of intracranial lesion : trans-sphenoidal,,-1,,0.5268813967704773,UNCHECKED,,0,4321596,EVENT,,<auto>,1602067210393
41256,"542 Operations on vessels of spleen, not elsewhere classified",542,"542 Operations on vessels of spleen, not elsewhere classified",,-1,,0.6705402731895447,UNCHECKED,,0,2000598,EVENT,,<auto>,1602067212327
41256,709.4 Other operations on uterus : amputation of cervix,7094,709.4 Other operations on uterus : amputation of cervix,,-1,,0.5084595680236816,UNCHECKED,,0,2004549,EVENT,,<auto>,1602067212704
41256,791.5 Division of bone : femur,7915,791.5 Division of bone : femur,,-1,,0.5018306374549866,UNCHECKED,,0,40492440,EVENT,,<auto>,1602067213322
41256,642.1 Excision or repair of hydrocele : hydrocelectomy,6421,642.1 Excision or repair of hydrocele : hydrocelectomy,,-1,,0.47324812412261963,UNCHECKED,,0,4166764,EVENT,,<auto>,1602067213894
41256,"267.2 Other operation on mouth and palate : incision of abscess, not elsewhere classified",2672,"267.2 Other operation on mouth and palate : incision of abscess, not elsewhere classified",,-1,,0.5714727640151978,UNCHECKED,,0,2000598,EVENT,,<auto>,1602067214931
41256,884.4 Repair of artery : excision with re-anastomosis,8844,884.4 Repair of artery : excision with re-anastomosis,,-1,,0.3731652796268463,UNCHECKED,,0,4146888,EVENT,,<auto>,1602067215801
41256,159.1 Other operation on iris and ciliary body : biopsy,1591,159.1 Other operation on iris and ciliary body : biopsy,,-1,,0.5300070643424988,UNCHECKED,,0,4119727,EVENT,,<auto>,1602067216372
41256,791.8 Division of bone : bones of foot,7918,791.8 Division of bone : bones of foot,,-1,,0.422833651304245,UNCHECKED,,0,4197229,EVENT,,<auto>,1602067217144
41256,055.3 Excision of intracranial lesion : infra-tentorial approach,0553,055.3 Excision of intracranial lesion : infra-tentorial approach,,-1,,0.49971866607666016,UNCHECKED,,0,4321596,EVENT,,<auto>,1602067217969
41256,884.5 Repair of artery : suture of artery,8845,884.5 Repair of artery : suture of artery,,-1,,0.5242493152618408,UNCHECKED,,0,4238384,EVENT,,<auto>,1602067219341
41256,792 Partial ostectomy,792,792 Partial ostectomy,,-1,,0.6603225469589233,UNCHECKED,,0,4224644,EVENT,,<auto>,1602067219872
41256,"542.1 Operations on vessels of spleen, not elsewhere classified : ligature",5421,"542.1 Operations on vessels of spleen, not elsewhere classified : ligature",,-1,,0.5784849524497986,UNCHECKED,,0,2000598,EVENT,,<auto>,1602067220858
41256,642.7 Excision or repair of hydrocele : hyrodecele of spermatic cord,6427,642.7 Excision or repair of hydrocele : hyrodecele of spermatic cord,,-1,,0.5685500502586365,UNCHECKED,,0,4140091,EVENT,,<auto>,1602067221388
41256,709.6 Other operations on uterus : division of utero-sacral ligament (denervation),7096,709.6 Other operations on uterus : division of utero-sacral ligament (denervation),,-1,,0.4737981855869293,UNCHECKED,,0,4207357,EVENT,,<auto>,1602067221491
41256,793 Complete ostectomy,793,793 Complete ostectomy,,-1,,0.5143731832504272,UNCHECKED,,0,4270496,EVENT,,<auto>,1602067222277
41256,267.3 Other operation on mouth and palate : incision of palate,2673,267.3 Other operation on mouth and palate : incision of palate,,-1,,0.4413856267929077,UNCHECKED,,0,4097703,EVENT,,<auto>,1602067222311
41256,055.4 Excision of intracranial lesion : frontal approach,0554,055.4 Excision of intracranial lesion : frontal approach,,-1,,0.5354185700416565,UNCHECKED,,0,4321596,EVENT,,<auto>,1602067224539
41256,159.2 Other operation on iris and ciliary body : excision of prolapsed iris,1592,159.2 Other operation on iris and ciliary body : excision of prolapsed iris,,-1,,0.594581663608551,UNCHECKED,,0,4189513,EVENT,,<auto>,1602067225156
41256,793.6 Complete ostectomy : patellectomy,7936,793.6 Complete ostectomy : patellectomy,,-1,,0.4889579117298126,UNCHECKED,,0,4239784,EVENT,,<auto>,1602067225530
41256,"885 Ligation of artery, not elsewhere classified",885,"885 Ligation of artery, not elsewhere classified",,-1,,0.6606552004814148,UNCHECKED,,0,2007504,EVENT,,<auto>,1602067225600
41256,644 Excision or repair of hydrocele,644,644 Excision or repair of hydrocele,,-1,,0.5982162952423096,UNCHECKED,,0,4166764,EVENT,,<auto>,1602067225886
41256,710 Colporrhaphy: with repair of pelvic organs,710,710 Colporrhaphy: with repair of pelvic organs,,-1,,0.5117778778076172,UNCHECKED,,0,4024966,EVENT,,<auto>,1602067226176
41256,267.5 Other operation on mouth and palate : operations on uvula,2675,267.5 Other operation on mouth and palate : operations on uvula,,-1,,0.5761140584945679,UNCHECKED,,0,2001229,EVENT,,<auto>,1602067228229
41256,794 Excision of lesion of bone,794,794 Excision of lesion of bone,,-1,,0.6676482558250427,UNCHECKED,,0,4285420,EVENT,,<auto>,1602067229393
41256,"161 Sclerectomy, not elsewhere classified",161,"161 Sclerectomy, not elsewhere classified",,-1,,0.6465409398078918,UNCHECKED,,0,2000598,EVENT,,<auto>,1602067229621
41256,"542.2 Operations on vessels of spleen, not elsewhere classified : injection",5422,"542.2 Operations on vessels of spleen, not elsewhere classified : injection",,-1,,0.5839325189590454,UNCHECKED,,0,2000598,EVENT,,<auto>,1602067230721
41256,711 Colporrhaphy: with repair of pelvic floor,711,711 Colporrhaphy: with repair of pelvic floor,,-1,,0.49375036358833313,UNCHECKED,,0,4024966,EVENT,,<auto>,1602067231073
41256,055.5 Excision of intracranial lesion : cortical excision,0555,055.5 Excision of intracranial lesion : cortical excision,,-1,,0.5968437194824219,UNCHECKED,,0,4321596,EVENT,,<auto>,1602067232897
41256,644.4 Excision or repair of hydrocele: ligation of processus vaginalis,6444,644.4 Excision or repair of hydrocele: ligation of processus vaginalis,,-1,,0.4934622347354889,UNCHECKED,,0,4320332,EVENT,,<auto>,1602067234890
41256,"885.2 Ligation of artery, not elsewhere classified : control of aneurysm",8852,"885.2 Ligation of artery, not elsewhere classified : control of aneurysm",,-1,,0.526292085647583,UNCHECKED,,0,2007504,EVENT,,<auto>,1602067235731
41256,162 Corneo-scleral trephine and sclerotomy,162,162 Corneo-scleral trephine and sclerotomy,,-1,,0.5488516092300415,UNCHECKED,,0,4182058,EVENT,,<auto>,1602067236128
41256,267.7 Other operation on mouth and palate : other repair of mouth,2677,267.7 Other operation on mouth and palate : other repair of mouth,,-1,,0.44340789318084717,UNCHECKED,,0,4001021,EVENT,,<auto>,1602067236679
41256,712 Colporrhaphy: with amputation of cervix,712,712 Colporrhaphy: with amputation of cervix,,-1,,0.6207436323165894,UNCHECKED,,0,4072584,EVENT,,<auto>,1602067237233
41256,794.1 Excision of lesion of bone : seguestrectomy (local),7941,794.1 Excision of lesion of bone : seguestrectomy (local),,-1,,0.41524845361709595,UNCHECKED,,0,4285420,EVENT,,<auto>,1602067237526
41256,055.6 Excision of intracranial lesion : hernia,0556,055.6 Excision of intracranial lesion : hernia,,-1,,0.5814042687416077,UNCHECKED,,0,4321596,EVENT,,<auto>,1602067239576
41256,"713 Colporrhaphy, not elsewhere classified",713,"713 Colporrhaphy, not elsewhere classified",,-1,,0.599365770816803,UNCHECKED,,0,2000598,EVENT,,<auto>,1602067241305
41256,"542.3 Operations on vessels of spleen, not elsewhere classified : anastomosis",5423,"542.3 Operations on vessels of spleen, not elsewhere classified : anastomosis",,-1,,0.5640482902526855,UNCHECKED,,0,2000598,EVENT,,<auto>,1602067241405
